,data_extracao,prefixo,ponto,placa,marca,modelo,data_primeiro_emplac,ano_fabricacao,combustivel,álcool,gasolina,GNV,elétrico
72,2020-03-12 01:58:27.228285,4308,HOSPITAL PRONTO SOCORRO (HPS),IZA7J17,TOYOTA,ETIOS SEDAN,2019-01-09,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
73,2020-03-12 01:58:27.228285,2154,,IXK5658,CHEVROLET,PRISMA,2016-08-29,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
74,2020-03-12 01:58:27.228285,1171,ZAFFARI F. VIEIRA,IZV4I65,NISSAN,VERSA,2019-12-16,2019,ÁLCOOL/GASOLINA,1,1,0,0
75,2020-03-12 01:58:27.228285,4517,MARIANTE X MOSTARDEIRO,IZR1C70,VW,VIRTUS,2019-10-14,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
76,2020-03-12 01:58:27.228285,3553,,IYX0622,VW,VOYAGE,2018-11-13,2018,ÁLCOOL/GASOLINA,1,1,0,0
77,2020-03-12 01:58:27.228285,1381,,IUY0051,RENAULT,DUSTER,2013-12-31,2013,ÁLCOOL/GASOLINA/GNV,1,1,1,0
78,2020-03-12 01:58:27.228285,2404,,IXE9D41,CHEVROLET,COBALT,2016-03-21,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
79,2020-03-12 01:58:27.228285,1768,,IYW2479,CHEVROLET,COBALT,2018-10-30,2018,ÁLCOOL/GASOLINA,1,1,0,0
80,2020-03-12 01:58:27.228285,4888,PAULINO TEIXEIRA X PROTÁSIO ALVES,IWA3162,VW,VOYAGE,2014-10-30,2014,ÁLCOOL/GASOLINA,1,1,0,0
81,2020-03-12 01:58:27.228285,2884,,IXS7514,CHEVROLET,SPIN,2017-03-08,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
82,2020-03-12 01:58:27.228285,3403,RODOVIÁRIA,ISJ5389,FIAT,PALIO,2011-10-14,2011,ÁLCOOL/GASOLINA,1,1,0,0
83,2020-03-12 01:58:27.228285,1518,CAPITÓLIO,IZB2G88,CHEVROLET,COBALT,2019-01-17,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
84,2020-03-12 01:58:27.228285,4523,TRIÂNGULO,IZF9H48,VW,VOYAGE,2019-02-08,2019,ÁLCOOL/GASOLINA,1,1,0,0
85,2020-03-12 01:58:27.228285,3330,CARREFOUR,IWG8862,VW,VOYAGE,2015-10-17,2014,ÁLCOOL/GASOLINA,1,1,0,0
86,2020-03-12 01:58:27.228285,2747,,IVH4023,VW,VOYAGE,2014-02-27,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
87,2020-03-12 01:58:27.228285,4737,ANITA GARIBALDI X FABIO N BARROS,IYX7264,VW,VIRTUS,2018-11-27,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
88,2020-03-12 01:58:27.228285,1656,PRAIA DE BELAS SHOPPING,IXK5929,TOYOTA,ETIOS SEDAN,2016-08-30,2016,ÁLCOOL/GASOLINA,1,1,0,0
89,2020-03-12 01:58:27.228285,2485,BARRA SHOPPING SUL,IZD2J08,TOYOTA,ETIOS SEDAN,2019-02-27,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
90,2020-03-12 01:58:27.228285,4327,,IZM8E44,TOYOTA,ETIOS SEDAN,2019-08-05,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
